,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,RESULT_C1,RESULT_C2
137,2019-186,16,Josip-BRAJDIC-32600,22,324, CROATIA,0.0,0.0,Mateusz-KNEZ-33850,21,282, POLAND,0.0,0.0, D/9,  V/15
138,2019-186,16,Jakub-JASKOT-30035,23,200, POLAND,0.0,0.0,Teddy-WELLER-15297,29,78, VIRGIN ISLANDS,0.0,0.0, V/15,  D/6
139,2019-186,16,Jonah-SHAINBERG-30258,22,176, USA,0.0,0.0,Alberto-ARPINO-35850,20,189, ITALY,0.0,0.0, V/15,  D/10
140,2019-186,8,Stefano_Ivan-LUCCHETTI-29223,21,53, ARGENTINA,0.0,0.0,Grant-WILLIAMS-34354,22,148, USA,1.0,0.0, V/15,  D/9
141,2019-186,8,Brynmor-SAUNDERS-31317,24,210, GREAT BRITAIN,0.0,0.0,Nicolaus-BENEDICT-39013,18,288, AUSTRIA,0.0,0.0, V/15,  D/7
142,2019-186,8,Shaul-GORDON-25917,24,24, CANADA,0.0,0.0,Mateusz-KNEZ-33850,21,282, POLAND,0.0,0.0, V/15,  D/11
143,2019-186,8,Jakub-JASKOT-30035,23,200, POLAND,0.0,0.0,Jonah-SHAINBERG-30258,22,176, USA,0.0,0.0, D/11,  V/15
144,2019-186,4,Stefano_Ivan-LUCCHETTI-29223,21,53, ARGENTINA,0.0,0.0,Brynmor-SAUNDERS-31317,24,210, GREAT BRITAIN,0.0,0.0, V/15,  D/12
145,2019-186,4,Shaul-GORDON-25917,24,24, CANADA,0.0,0.0,Jonah-SHAINBERG-30258,22,176, USA,0.0,0.0, V/15,  D/10
146,2019-186,2,Stefano_Ivan-LUCCHETTI-29223,21,53, ARGENTINA,0.0,0.0,Shaul-GORDON-25917,24,24, CANADA,0.0,0.0, D/13,  V/15
147,2019-1356,32,Claudia-BORELLA-32248,21,77, ITALY,0.0,1.0,Gabriela_Del_C_-PADUA-34667,18,338, PUERTO RICO,0.0,1.0, V/15,  D/10
148,2019-1356,32,Olga_Rachele-CALISSI-22043,26,124, ITALY,0.0,1.0,Giorgia-SPAZZI-48407,17,373, ITALY,0.0,1.0, V/15,  D/1
149,2019-1356,32,Chiara-MCDERMOTT-30534,24,327, GREAT BRITAIN,0.0,1.0,Nora-HAJAS-37537,18,312, HUNGARY,0.0,1.0, D/5,  V/15
150,2019-1356,32,Marta-RICCI-43042,18,196, ITALY,1.0,1.0,Michala-CELLEROVA-20593,24,275, SLOVAKIA,0.0,1.0, V/15,  D/13
151,2019-1356,32,Kitti-BITTEROVA-29852,21,106, SLOVAKIA,0.0,1.0,Andrea-BRETEAU-32393,20,179, SPAIN,0.0,1.0, V/15,  D/7
152,2019-1356,32,Mona-SHAITO-22165,24,349, LEBANON,1.0,1.0,Katie-SMITH-30326,22,193, GREAT BRITAIN,0.0,1.0, D/14,  V/15
153,2019-1356,32,Irene-ENRIGHT-28068,41,313, FINLAND,0.0,1.0,Kelleigh-RYAN-9309,31,22, CANADA,0.0,1.0, D/4,  V/15
154,2019-1356,32,Marta-CAMMILLETTI-4405,34,97, ITALY,0.0,1.0,Delphine-GROSLAMBERT-12187,29,253, BELGIUM,0.0,1.0, V/15,  D/9
155,2019-1356,32,Kim-WEISS-15803,27,265, AUSTRIA,0.0,1.0,Elena-TANGHERLINI-33865,20,264, ITALY,1.0,1.0, D/7,  V/15
156,2019-1356,32,Amita-BERTHIER-33614,18,117, SINGAPORE,1.0,1.0,Veronika-KRALIKOVA-36953,17,367, SLOVAKIA,0.0,1.0, V/15,  D/7
157,2019-1356,32,Elena-CRAIGHERO-45943,18,341, ITALY,1.0,1.0,Kate-BEARDMORE-31645,21,107, GREAT BRITAIN,0.0,1.0, V/15,  D/14
158,2019-1356,32,Maria_Ludmila-TERNI-23037,30,150, ARGENTINA,1.0,1.0,Virag-KALOCSAI-42986,17,390, HUNGARY,0.0,1.0, V/15,  D/8
159,2019-1356,32,Philippa-MULLINS-17406,28,369, GREAT BRITAIN,0.0,1.0,Chloe-DICKSON-28025,23,210, GREAT BRITAIN,1.0,1.0, D/4,  V/12
160,2019-1356,32,Barbara-OJEDA-26919,25,214, SPAIN,0.0,1.0,Szonja-SZALAI-24399,24,121, HUNGARY,1.0,1.0, D/14,  V/15
161,2019-1356,32,Victoria-DUXBURY-30222,23,345, IRELAND,0.0,1.0,Olivia-WOHLGEMUTH-18774,26,53, AUSTRIA,0.0,1.0, D/6,  V/15
162,2019-1356,16,Olga_Rachele-CALISSI-22043,26,124, ITALY,0.0,1.0,Nora-HAJAS-37537,18,312, HUNGARY,0.0,1.0, V/15,  D/7
163,2019-1356,16,Marta-RICCI-43042,18,196, ITALY,1.0,1.0,Kitti-BITTEROVA-29852,21,106, SLOVAKIA,0.0,1.0, V/15,  D/9
164,2019-1356,16,Katie-SMITH-30326,22,193, GREAT BRITAIN,0.0,1.0,Kelleigh-RYAN-9309,31,22, CANADA,0.0,1.0, D/6,  V/15
165,2019-1356,16,Marta-CAMMILLETTI-4405,34,97, ITALY,0.0,1.0,Elena-TANGHERLINI-33865,20,264, ITALY,1.0,1.0, V/15,  D/14
166,2019-1356,16,Amita-BERTHIER-33614,18,117, SINGAPORE,1.0,1.0,Elena-CRAIGHERO-45943,18,341, ITALY,1.0,1.0, V/15,  D/6
167,2019-1356,16,Maria_Ludmila-TERNI-23037,30,150, ARGENTINA,1.0,1.0,Chloe-DICKSON-28025,23,210, GREAT BRITAIN,1.0,1.0, V/14,  D/13
168,2019-1356,16,Szonja-SZALAI-24399,24,121, HUNGARY,1.0,1.0,Olivia-WOHLGEMUTH-18774,26,53, AUSTRIA,0.0,1.0, D/10,  V/11
169,2019-1356,8,Marta-RICCI-43042,18,196, ITALY,1.0,1.0,Kelleigh-RYAN-9309,31,22, CANADA,0.0,1.0, D/10,  V/15
170,2019-1356,8,Marta-CAMMILLETTI-4405,34,97, ITALY,0.0,1.0,Amita-BERTHIER-33614,18,117, SINGAPORE,1.0,1.0, D/5,  V/15
171,2019-1356,8,Maria_Ludmila-TERNI-23037,30,150, ARGENTINA,1.0,1.0,Olivia-WOHLGEMUTH-18774,26,53, AUSTRIA,0.0,1.0, D/10,  V/11
172,2019-1356,4,Olga_Rachele-CALISSI-22043,26,124, ITALY,0.0,1.0,Kelleigh-RYAN-9309,31,22, CANADA,0.0,1.0, D/11,  V/14
173,2019-1356,4,Amita-BERTHIER-33614,18,117, SINGAPORE,1.0,1.0,Olivia-WOHLGEMUTH-18774,26,53, AUSTRIA,0.0,1.0, V/15,  D/12
174,2019-1356,2,Kelleigh-RYAN-9309,31,22, CANADA,0.0,1.0,Amita-BERTHIER-33614,18,117, SINGAPORE,1.0,1.0, V/15,  D/9
175,2019-553,32,Dorina-BUDAI-19630,26,43, HUNGARY,0.0,2.0,Maija-TERHO-34317,21,436, FINLAND,0.0,2.0, V/15,  D/5
176,2019-553,32,Michaela-KOCK-19869,26,218, FINLAND,0.0,2.0,Madina-AZIZOVA-32545,22,321, ESTONIA,0.0,2.0, D/13,  V/15
177,2019-553,32,Nelli-DIFFERT-19933,28,126, ESTONIA,0.0,2.0,Anne-DEVEREAUX-28539,23,193, AUSTRALIA,0.0,2.0, V/15,  D/9
178,2019-553,32,Anni-VORNANEN-43036,27,416, FINLAND,0.0,2.0,Julia-BELJAJEVA-20450,26,28, ESTONIA,0.0,2.0, D/4,  V/15
179,2019-553,32,Katrina-LEHIS-24108,24,9, ESTONIA,1.0,2.0,Anna-VUORINEN-34282,20,420, FINLAND,0.0,2.0, V/15,  D/7
180,2019-553,32,Thale-HILLE_DAHL-29774,24,362, NORWAY,1.0,2.0,Jelena-MALUKA-5112,42,287, LATVIA,0.0,2.0, V/15,  D/8
181,2019-553,32,Vikte-AZUKAITE-31104,22,172, LITHUANIA,0.0,2.0,Asa-LINDE-29653,21,107, SWEDEN,0.0,2.0, D/7,  V/15
182,2019-553,32,Sonja-LOFGREN-38861,19,399, SWEDEN,0.0,2.0,Elvira-MARTENSSON-32689,19,165, SWEDEN,1.0,2.0, D/12,  V/15
183,2019-553,32,Kristina-KUUSK-2611,33,25, ESTONIA,0.0,2.0,Eevi-BENGS-19871,28,430, FINLAND,1.0,2.0, V/15,  D/3
184,2019-553,32,Sarah_Schremmer-LARSEN-41951,20,407, DENMARK,0.0,2.0,Karoliine-LOIT-34454,18,349, ESTONIA,0.0,2.0, D/9,  V/15
185,2019-553,32,Nina-HYVONEN-25963,42,384, FINLAND,0.0,2.0,Paulina-BAJORUNAITE-24440,25,250, LITHUANIA,0.0,2.0, D/13,  V/15
186,2019-553,32,Ilona-SYVALA-30387,22,274, FINLAND,0.0,2.0,Ivana-SIMIC-36561,30,375, SOUTH AFRICA,0.0,2.0, V/15,  D/6
187,2019-553,32,Anna-SALMINEN-25895,23,160, FINLAND,0.0,2.0,Irina-ASCHEHOUG-2607,33,210, NORWAY,0.0,2.0, V/15,  D/6
