,ID,Edad,FieRanking,Nacionalidad,Mano,Arma
2211,Flavio_Maria-TRICARICO-34450,20,9999999, ITALY, Right, Sabre 
2212,Flavio_Roberto-PAGUAGA_AGUILAR-27617,26,9999999, NICARAGUA, Right, Foil 
2213,Flora-PALU-12479,30,9999999, FRANCE, Right, Sabre 
2214,Flora-PASZTOR-33780,20,147, HUNGARY, Right, Foil 
2215,Flora-Pasztor-33780,20,147, HUNGARY, Right, Foil 
2216,Flora-TRAN-28242,25,9999999, FRANCE, Right, Foil 
2217,Florencia-GARCIA-30720,23,389, ARGENTINA, Right, Sabre 
2218,Florens-PFANN-29762,24,483, GERMANY, Left, Foil 
2219,Florentin_Martial_Tanou-KOUADJO-47518,29,202, COTE D'IVOIRE, Right, Epée 
2220,Florian-CALL-31700,23,9999999, AUSTRIA, Right, Sabre 
2221,Florian-DEWANDELEER-34257,22,970, BELGIUM, Right, Epée 
2222,Florian-SCHICKELE-42623,18,9999999, FRANCE, Left, Sabre 
2223,Florian-SCHMID-1686,33,518, AUSTRIA, Right, Epée 
2224,Florian-STAUB-17515,28,9999999, SWITZERLAND, Right, Epée 
2225,Floriane-AELVOET-45599,18,333, BELGIUM, Right, Sabre 
2226,Flurin-GAECHTER-30637,23,9999999, SWITZERLAND, Right, Epée 
2227,Frances-SLOAN_SAINAS-38813,61,9999999, CANADA, Right, Epée 
2229,Francesca-BASSA-14715,28,127, USA, Right, Epée 
2230,Francesca-BOSCARELLI-4388,36,92, ITALY, Right, Epée 
2231,Francesca-BUCCIONE-4396,37,9999999, ITALY, Right, Sabre 
2232,Francesca-CERESA_GASTALDO-35820,23,9999999, ITALY, Left, Epée 
2233,Francesca-CUGINI-32582,20,9999999, SWITZERLAND, Left, Epée 
2234,Francesca-PALUMBO-23447,24,40, ITALY, Left, Foil 
2235,Francesca-PONTI-12509,29,9999999, ITALY, Right, Sabre 
2236,Francesca-QUINTABA-45645,17,386, ITALY, Left, Foil 
2237,Francesca-QUONDAMCARLO-7621,34,9999999, ITALY, Right, Epée 
2238,Francesca-RUSSO-23253,23,121, USA, Right, Sabre 
2239,Francesca-SIEGEL-42081,18,9999999, GERMANY, Right, Sabre 
2240,Francesca-SUMMERS-30076,22,796, GREAT BRITAIN, Right, Epée 
2241,Francesca-TAURO-30536,23,9999999, ITALY, Right, Epée 
2242,Francesco-BONSANTO-28285,23,115, ITALY, Right, Sabre 
2243,Francesco-DARMIENTO-24278,24,119, ITALY, Right, Sabre 
2244,Francesco-DE_ROBBIO-31904,23,9999999, CROATIA, Right, Sabre 
2245,Francesco-INGARGIOLA-29961,22,98, ITALY, Right, Foil 
2246,Francesco-LEONE-47413,18,9999999, ITALY, Right, Epée 
