,ID,Edad,FieRanking,Nacionalidad,Mano,Arma
6114,Theodoros-AVRAMIDIS-45735,16,9999999, GREECE, Left, Epée 
6115,Therese-LORENZ-1644,50,278, AUSTRIA, Right, Epée 
6116,Thhivya_Ashti-SIVA_KUMAR-43147,17,9999999, SINGAPORE, Right, Epée 
6119,Thi_Hau-NGUYEN-38304,21,9999999, VIETNAM, Right, Epée 
6121,Thi_Hong-VU-43390,19,9999999, VIETNAM, Left, Epée 
6125,Thi_Luyen-NGUYEN-40725,20,9999999, VIETNAM, Right, Epée 
6127,Thi_Nhu_Hoa-NGUYEN-14004,34,177, VIETNAM, Right, Epée 
6131,Thi_Thuy_Trinh-TRAN-34886,19,168, VIETNAM, Right, Epée 
6135,Thierry-CALAMBE-44992,51,9999999, FRANCE, Left, Epée 
6143,Thomas-DANIEL-39373,33,9999999, AUSTRIA, Right, Epée 
6146,Thomas-EDWARDS-28357,25,9999999, GREAT BRITAIN, Right, Epée 
6148,Thomas-JACK-25961,24,9999999, FINLAND, Right, Epée 
6149,Thomas-KLEIN-16951,76,9999999, GERMANY, Right, Epée 
6152,Thomas-MERKY-14327,65,9999999, SWITZERLAND, Right, Epée 
6153,Thomas-PRECY-45289,20,9999999, FRANCE, Left, Epée 
6154,Thomas-ROUSSEL-38939,21,9999999, FRANCE, Right, Epée 
6162,Thulani-MANZINI-31060,24,9999999, SOUTH AFRICA, Right, Epée 
6163,Tia-SIMMS_LYMN-32259,19,335, JAMAICA, Right, Epée 
6168,Tibor-ANDRASFI-36648,19,313, HUNGARY, Right, Epée 
6169,Tien_Nhat-NGUYEN-22877,28,121, VIETNAM, Right, Epée 
6172,Tiffany-GEROUDET-7767,32,9999999, SWITZERLAND, Left, Epée 
6173,Tik_Lam_Debbie-HO-32966,21,437, HONG KONG, Right, Epée 
6174,Tim-KUCHALSKI-26386,24,9999999, GERMANY, Left, Epée 
6176,Timothy-FRANK-45745,18,9999999, USA, Right, Epée 
6180,Ting_Hsuan-YANG-42718,19,9999999, CHINESE TAIPEI, Right, Epée 
6181,Ting_Wei-FANG-42705,19,9999999, CHINESE TAIPEI, Right, Epée 
6183,Titouan-CHOTIN-43005,17,9999999, FRANCE, Right, Epée 
6188,Tobias_Overgaard-JEPPESEN-43168,17,9999999, DENMARK, Right, Epée 
6189,Todd-KOZLOWSKI-45378,26,669, USA, Left, Epée 
6190,Todd-_KOZLOWSKI-45378,26,669, USA, Left, Epée 
6193,Tom-BONTES-30941,23,9999999, NETHERLANDS, Right, Epée 
6200,Tomas-CURRAN_JONES-31053,23,1007, GREAT BRITAIN, Right, Epée 
6201,Tomas-KAZIK-6134,35,9999999, SLOVAKIA, Right, Epée 
6202,Tomas-KLEIN-16951,76,9999999, GERMANY, Right, Epée 
6203,Tomas-KRASIKOVAS-8292,34,9999999, LITHUANIA, Right, Epée 
6204,Tomas-LUNDBLAD-42778,51,9999999, SWEDEN, Right, Epée 
6206,Tomas-MAKAROVAS-35474,33,334, LITHUANIA, Right, Epée 
6208,Tomaso-MELOCCHI-28343,24,9999999, ITALY, Right, Epée 
6209,Tomasz-MASZKOWSKI-45192,55,9999999, POLAND, Right, Epée 
6210,Tomasz-MOTYKA-5430,37,9999999, POLAND, Left, Epée 
6213,Tomer-LACHIANI-35050,20,9999999, ISRAEL, Left, Epée 
6215,Tomer-YARINOVSKY-42075,17,994, ISRAEL, Right, Epée 
6216,Tomi-ALEKSANDROVSKI-44144,60,848, THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, Right, Epée 
6228,Toncica-TOPIC-19633,26,9999999, CROATIA, Right, Epée 
6231,Topias-TAURIAINEN-33493,19,258, FINLAND, Right, Epée 
6232,Tor-FORSSE-6194,46,524, SWEDEN, Right, Epée 
6234,Tord-FJERMESTAD-30099,22,666, NORWAY, Left, Epée 
6237,Tran_Nhat_Minh-TRUONG-27641,27,9999999, VIETNAM, Right, Epée 
6238,Trayana-HRISTOVA-44236,16,9999999, BULGARIA, Right, Epée 
6239,Tristan-CARLES-15592,31,9999999, FRANCE, Right, Epée 
6243,Tsai_Feng-WU-6326,36,9999999, CHINESE TAIPEI, Left, Epée 
6246,Tsung_Lin-CHEN-35402,25,212, CHINESE TAIPEI, Right, Epée 
6248,Tsz_Ching-CHAN-45929,17,9999999, HONG KONG, Right, Epée 
6250,Tsz_Ho-WONG-30881,22,421, HONG KONG, Left, Epée 
6251,Tuan_Anh-DANG-43392,20,1003, VIETNAM, Left, Epée 
6252,Tufaha-UWIHOREYE-35062,23,9999999, RWANDA, Right, Epée 
6258,Udaivir-SINGH-37623,23,208, INDIA, Right, Epée 
6259,Udaypaul-CHILANA-44189,20,9999999, USA, Right, Epée 
6264,Ulf-WIKSTROM-6265,60,9999999, SWEDEN, Right, Epée 
