TABLEU,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,WINNER
8,23,160, FINLAND, Right, Epée ,38,68, ESTONIA, Left, Epée ,1
4,26,28, ESTONIA, Right, Epée ,21,107, SWEDEN, Right, Epée ,0
4,33,25, ESTONIA, Right, Epée ,38,68, ESTONIA, Left, Epée ,1
2,26,28, ESTONIA, Right, Epée ,38,68, ESTONIA, Left, Epée ,0
16,28,31, POLAND, Right, Sabre ,25,302, CHINESE TAIPEI, Right, Sabre ,0
16,23,285, GREAT BRITAIN, Right, Sabre ,17,231, USA, Right, Sabre ,1
16,29,24, SPAIN, Right, Sabre ,20,260, GREAT BRITAIN, Right, Sabre ,0
16,20,291, CANADA, Right, Sabre ,22,259, VENEZUELA, Right, Sabre ,1
16,24,135, GREAT BRITAIN, Right, Sabre ,27,293, GREAT BRITAIN, Right, Sabre ,0
16,22,286, GREAT BRITAIN, Right, Sabre ,23,121, USA, Right, Sabre ,1
16,22,230, GREAT BRITAIN, Right, Sabre ,25,60, INDIA, Right, Sabre ,1
16,20,297, GREAT BRITAIN, Right, Sabre ,31,100, CANADA, Right, Sabre ,1
8,28,31, POLAND, Right, Sabre ,17,231, USA, Right, Sabre ,0
8,29,24, SPAIN, Right, Sabre ,22,259, VENEZUELA, Right, Sabre ,0
8,24,135, GREAT BRITAIN, Right, Sabre ,23,121, USA, Right, Sabre ,1
8,25,60, INDIA, Right, Sabre ,31,100, CANADA, Right, Sabre ,0
4,28,31, POLAND, Right, Sabre ,29,24, SPAIN, Right, Sabre ,0
4,23,121, USA, Right, Sabre ,25,60, INDIA, Right, Sabre ,0
2,28,31, POLAND, Right, Sabre ,23,121, USA, Right, Sabre ,1
32,21,118, AUSTRIA, Left, Epée ,19,557, FINLAND, Right, Epée ,0
32,16,535, FINLAND, Right, Epée ,26,477, SWEDEN, Left, Epée ,1
32,54,510, SWEDEN, Right, Epée ,17,475, FINLAND, Left, Epée ,1
32,23,365, TURKEY, Right, Epée ,19,514, FINLAND, Left, Epée ,0
32,19,588, FINLAND, Right, Epée ,20,303, ESTONIA, Left, Epée ,1
32,21,490, DENMARK, Right, Epée ,20,491, LITHUANIA, Right, Epée ,1
32,18,545, SWEDEN, Left, Epée ,21,316, DENMARK, Left, Epée ,1
32,22,413, SWEDEN, Left, Epée ,21,304, DENMARK, Right, Epée ,1
32,21,159, SWEDEN, Right, Epée ,17,507, PHILIPPINES, Left, Epée ,0
32,34,122, ESTONIA, Right, Epée ,22,143, FINLAND, Right, Epée ,0
32,19,582, ESTONIA, Right, Epée ,19,258, FINLAND, Right, Epée ,1
32,31,76, ESTONIA, Right, Epée ,46,524, SWEDEN, Right, Epée ,0
32,36,481, USA, Right, Epée ,29,50, FINLAND, Left, Epée ,1
16,21,118, AUSTRIA, Left, Epée ,26,477, SWEDEN, Left, Epée ,0
16,17,475, FINLAND, Left, Epée ,23,365, TURKEY, Right, Epée ,1
16,20,303, ESTONIA, Left, Epée ,25,467, FINLAND, Right, Epée ,0
16,20,491, LITHUANIA, Right, Epée ,21,316, DENMARK, Left, Epée ,1
16,21,304, DENMARK, Right, Epée ,21,159, SWEDEN, Right, Epée ,1
16,34,122, ESTONIA, Right, Epée ,19,258, FINLAND, Right, Epée ,0
16,31,76, ESTONIA, Right, Epée ,29,50, FINLAND, Left, Epée ,1
8,21,118, AUSTRIA, Left, Epée ,23,365, TURKEY, Right, Epée ,0
8,21,316, DENMARK, Left, Epée ,21,159, SWEDEN, Right, Epée ,1
8,34,122, ESTONIA, Right, Epée ,29,50, FINLAND, Left, Epée ,1
4,21,159, SWEDEN, Right, Epée ,29,50, FINLAND, Left, Epée ,1
32,20,151, ITALY, Right, Foil ,29,384, GREAT BRITAIN, Left, Foil ,0
32,18,277, HONG KONG, Left, Foil ,19,404, ITALY, Right, Foil ,0
32,26,284, GREAT BRITAIN, Right, Foil ,17,380, SWEDEN, Right, Foil ,1
32,23,278, AUSTRIA, Right, Foil ,24,145, JAPAN, Right, Foil ,1
32,25,124, DENMARK, Right, Foil ,27,91, SLOVAKIA, Right, Foil ,0
32,20,442, BELGIUM, Right, Foil ,27,276, GREAT BRITAIN, Right, Foil ,1
32,19,398, NETHERLANDS, Right, Foil ,22,57, DENMARK, Right, Foil ,1
32,31,205, DENMARK, Right, Foil ,21,90, CROATIA, Right, Foil ,1
32,18,376, DENMARK, Right, Foil ,20,107, BELGIUM, Left, Foil ,0
32,18,103, NETHERLANDS, Right, Foil ,21,134, BELGIUM, Left, Foil ,0
32,18,424, ITALY, Right, Foil ,28,64, JAPAN, Left, Foil ,1
32,24,206, AUSTRIA, Right, Foil ,28,102, FRANCE, Right, Foil ,1
32,20,204, SWEDEN, Right, Foil ,30,31, TURKEY, Right, Foil ,1
32,25,389, JAPAN, Right, Foil ,19,371, ITALY, Right, Foil ,1
32,17,431, NETHERLANDS, Right, Foil ,20,281, GREAT BRITAIN, Right, Foil ,1
16,20,151, ITALY, Right, Foil ,18,277, HONG KONG, Left, Foil ,0
16,17,380, SWEDEN, Right, Foil ,18,291, DENMARK, Right, Foil ,1
16,24,145, JAPAN, Right, Foil ,25,124, DENMARK, Right, Foil ,1
16,27,276, GREAT BRITAIN, Right, Foil ,22,57, DENMARK, Right, Foil ,1
16,21,90, CROATIA, Right, Foil ,18,376, DENMARK, Right, Foil ,0
16,18,103, NETHERLANDS, Right, Foil ,28,64, JAPAN, Left, Foil ,1
16,28,102, FRANCE, Right, Foil ,30,31, TURKEY, Right, Foil ,0
16,19,371, ITALY, Right, Foil ,20,281, GREAT BRITAIN, Right, Foil ,1
8,20,151, ITALY, Right, Foil ,18,291, DENMARK, Right, Foil ,0
8,25,124, DENMARK, Right, Foil ,22,57, DENMARK, Right, Foil ,0
8,21,90, CROATIA, Right, Foil ,28,64, JAPAN, Left, Foil ,1
8,28,102, FRANCE, Right, Foil ,20,281, GREAT BRITAIN, Right, Foil ,0
4,20,151, ITALY, Right, Foil ,25,124, DENMARK, Right, Foil ,0
4,28,64, JAPAN, Left, Foil ,28,102, FRANCE, Right, Foil ,1
2,20,151, ITALY, Right, Foil ,28,102, FRANCE, Right, Foil ,0
32,19,382, MEXICO, Right, Foil ,17,395, MEXICO, Right, Foil ,0
32,22,270, USA, Right, Foil ,18,403, MEXICO, Left, Foil ,0
32,23,386, MEXICO, Right, Foil ,22,115, MEXICO, Right, Foil ,0
32,25,378, MEXICO, Right, Foil ,18,399, MEXICO, Right, Foil ,0
16,20,218, IRELAND, Left, Foil ,19,382, MEXICO, Right, Foil ,0
16,19,106, ARGENTINA, Left, Foil ,24,163, MEXICO, Left, Foil ,0
16,21,128, LATVIA, Left, Foil ,18,372, USA, Left, Foil ,0
16,22,270, USA, Right, Foil ,26,199, GUATEMALA, Right, Foil ,1
16,17,301, MEXICO, Right, Foil ,23,386, MEXICO, Right, Foil ,0
16,16,370, MEXICO, Right, Foil ,28,207, MEXICO, Right, Foil ,1
16,17,181, USA, Left, Foil ,18,368, USA, Left, Foil ,0
16,25,378, MEXICO, Right, Foil ,17,198, MEXICO, Right, Foil ,1
8,20,218, IRELAND, Left, Foil ,19,106, ARGENTINA, Left, Foil ,0
8,21,128, LATVIA, Left, Foil ,26,199, GUATEMALA, Right, Foil ,0
8,17,301, MEXICO, Right, Foil ,28,207, MEXICO, Right, Foil ,1
8,17,181, USA, Left, Foil ,17,198, MEXICO, Right, Foil ,0
4,20,218, IRELAND, Left, Foil ,21,128, LATVIA, Left, Foil ,0
4,28,207, MEXICO, Right, Foil ,17,181, USA, Left, Foil ,1
2,20,218, IRELAND, Left, Foil ,17,181, USA, Left, Foil ,1
32,21,47, ITALY, Right, Epée ,26,263, SWITZERLAND, Right, Epée ,0
32,29,598, SWITZERLAND, Right, Epée ,17,497, ITALY, Right, Epée ,1
32,20,512, GREAT BRITAIN, Right, Epée ,33,225, SWITZERLAND, Right, Epée ,1
32,36,227, ITALY, Right, Epée ,30,110, HUNGARY, Right, Epée ,1
32,21,304, DENMARK, Right, Epée ,21,493, ITALY, Right, Epée ,1
32,21,165, HUNGARY, Right, Epée ,22,519, FRANCE, Right, Epée ,0
32,27,412, SWITZERLAND, Right, Epée ,29,32, ITALY, Right, Epée ,1
32,26,139, SWITZERLAND, Left, Epée ,21,310, SWITZERLAND, Right, Epée ,1
32,38,126, HUNGARY, Right, Epée ,24,152, ITALY, Right, Epée ,0
32,26,182, ITALY, Right, Epée ,20,417, ITALY, Right, Epée ,0
32,22,370, SWITZERLAND, Right, Epée ,21,383, SWITZERLAND, Right, Epée ,0
32,30,174, GERMANY, Right, Epée ,20,508, SWITZERLAND, Right, Epée ,0
32,23,75, SWITZERLAND, Left, Epée ,25,171, PORTUGAL, Left, Epée ,0
32,21,543, SWITZERLAND, Right, Epée ,22,70, SWITZERLAND, Left, Epée ,1
32,25,371, BRAZIL, Right, Epée ,21,418, SWITZERLAND, Right, Epée ,0
32,24,115, SWITZERLAND, Right, Epée ,26,141, SWITZERLAND, Right, Epée ,1
16,21,47, ITALY, Right, Epée ,17,497, ITALY, Right, Epée ,0
16,33,225, SWITZERLAND, Right, Epée ,30,110, HUNGARY, Right, Epée ,0
16,21,493, ITALY, Right, Epée ,21,165, HUNGARY, Right, Epée ,1
16,29,32, ITALY, Right, Epée ,21,310, SWITZERLAND, Right, Epée ,1
16,38,126, HUNGARY, Right, Epée ,26,182, ITALY, Right, Epée ,0
16,22,370, SWITZERLAND, Right, Epée ,30,174, GERMANY, Right, Epée ,1
16,23,75, SWITZERLAND, Left, Epée ,22,70, SWITZERLAND, Left, Epée ,1
16,25,371, BRAZIL, Right, Epée ,26,141, SWITZERLAND, Right, Epée ,1
8,21,47, ITALY, Right, Epée ,33,225, SWITZERLAND, Right, Epée ,0
8,21,165, HUNGARY, Right, Epée ,21,310, SWITZERLAND, Right, Epée ,1
8,38,126, HUNGARY, Right, Epée ,30,174, GERMANY, Right, Epée ,0
8,22,70, SWITZERLAND, Left, Epée ,26,141, SWITZERLAND, Right, Epée ,0
4,21,47, ITALY, Right, Epée ,21,310, SWITZERLAND, Right, Epée ,0
4,38,126, HUNGARY, Right, Epée ,22,70, SWITZERLAND, Left, Epée ,1
2,21,47, ITALY, Right, Epée ,22,70, SWITZERLAND, Left, Epée ,0
32,19,229, ITALY, Right, Sabre ,21,336, GREAT BRITAIN, Right, Sabre ,0
32,19,295, GERMANY, Right, Sabre ,22,277, BELGIUM, Right, Sabre ,0
32,18,94, GERMANY, Right, Sabre ,18,321, NETHERLANDS, Left, Sabre ,0
32,18,321, GERMANY, Right, Sabre ,20,288, GERMANY, Right, Sabre ,1
32,19,303, GERMANY, Right, Sabre ,19,264, GERMANY, Right, Sabre ,1
32,22,230, GREAT BRITAIN, Right, Sabre ,23,285, GREAT BRITAIN, Right, Sabre ,0
32,38,311, GREAT BRITAIN, Right, Sabre ,18,299, GERMANY, Right, Sabre ,1
32,18,331, BELGIUM, Right, Sabre ,29,24, SPAIN, Right, Sabre ,1
32,23,76, ITALY, Left, Sabre ,18,333, BELGIUM, Right, Sabre ,0
32,18,318, ITALY, Right, Sabre ,26,131, BRAZIL, Right, Sabre ,1
32,26,305, GREAT BRITAIN, Right, Sabre ,20,260, GREAT BRITAIN, Right, Sabre ,1
32,18,329, GERMANY, Right, Sabre ,20,275, GREAT BRITAIN, Right, Sabre ,1
32,24,135, GREAT BRITAIN, Right, Sabre ,18,327, GERMANY, Right, Sabre ,0
32,26,319, GREAT BRITAIN, Right, Sabre ,20,101, ITALY, Right, Sabre ,1
32,17,292, BELGIUM, Right, Sabre ,19,242, GREAT BRITAIN, Left, Sabre ,0
32,20,297, GREAT BRITAIN, Right, Sabre ,23,44, TURKEY, Right, Sabre ,1
16,19,229, ITALY, Right, Sabre ,19,295, GERMANY, Right, Sabre ,0
16,18,94, GERMANY, Right, Sabre ,20,288, GERMANY, Right, Sabre ,0
16,19,264, GERMANY, Right, Sabre ,22,230, GREAT BRITAIN, Right, Sabre ,1
16,18,299, GERMANY, Right, Sabre ,29,24, SPAIN, Right, Sabre ,1
16,23,76, ITALY, Left, Sabre ,26,131, BRAZIL, Right, Sabre ,1
16,20,260, GREAT BRITAIN, Right, Sabre ,20,275, GREAT BRITAIN, Right, Sabre ,0
16,24,135, GREAT BRITAIN, Right, Sabre ,20,101, ITALY, Right, Sabre ,1
