,,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON
143,2019-186,8,Jakub-JASKOT-30035,23, 200, POLAND, Right, Sabre ,Jonah-SHAINBERG-30258,22, 176, USA, Right, Sabre , D/11
144,2019-186,4,Stefano_Ivan-LUCCHETTI-29223,21, 53, ARGENTINA, Right, Sabre ,Brynmor-SAUNDERS-31317,24, 210, GREAT BRITAIN, Right, Sabre , V/15
145,2019-186,4,Shaul-GORDON-25917,24, 24, CANADA, Right, Sabre ,Jonah-SHAINBERG-30258,22, 176, USA, Right, Sabre , V/15
146,2019-186,2,Stefano_Ivan-LUCCHETTI-29223,21, 53, ARGENTINA, Right, Sabre ,Shaul-GORDON-25917,24, 24, CANADA, Right, Sabre , D/13
147,2019-1356,32,Claudia-BORELLA-32248,21, 77, ITALY, Right, Foil ,Gabriela_Del_C_-PADUA-34667,18, 338, PUERTO RICO, Right, Foil , V/15
148,2019-1356,32,Olga_Rachele-CALISSI-22043,26, 124, ITALY, Right, Foil ,Giorgia-SPAZZI-48407,17, 373, ITALY, Right, Foil , V/15
149,2019-1356,32,Chiara-MCDERMOTT-30534,24, 327, GREAT BRITAIN, Right, Foil ,Nora-HAJAS-37537,18, 312, HUNGARY, Right, Foil , D/5
150,2019-1356,32,Marta-RICCI-43042,18, 196, ITALY, Left, Foil ,Michala-CELLEROVA-20593,24, 275, SLOVAKIA, Right, Foil , V/15
151,2019-1356,32,Kitti-BITTEROVA-29852,21, 106, SLOVAKIA, Right, Foil ,Andrea-BRETEAU-32393,20, 179, SPAIN, Right, Foil , V/15
152,2019-1356,32,Mona-SHAITO-22165,24, 349, LEBANON, Left, Foil ,Katie-SMITH-30326,22, 193, GREAT BRITAIN, Right, Foil , D/14
153,2019-1356,32,Irene-ENRIGHT-28068,41, 313, FINLAND, Right, Foil ,Kelleigh-RYAN-9309,31, 22, CANADA, Right, Foil , D/4
154,2019-1356,32,Marta-CAMMILLETTI-4405,34, 97, ITALY, Right, Foil ,Delphine-GROSLAMBERT-12187,29, 253, BELGIUM, Right, Foil , V/15
155,2019-1356,32,Kim-WEISS-15803,27, 265, AUSTRIA, Right, Foil ,Elena-TANGHERLINI-33865,20, 264, ITALY, Left, Foil , D/7
