Category, Gender, Weapon, Competition, Place, Date, Type, Event
Tournoi de la ville de Dijon,Dijon,17.02.18,J,E,F,I,A
Coupe du Monde,Vancouver,16.02.18,S,E,M,I,A
Coupe du Monde par équipes,Dourdan,11.02.18,J,S,M,T,A
Coupe du Monde par équipes,Barcelone,11.02.18,S,E,F,T,A
Löwe von Bonn,Bonn,11.02.18,S,F,M,T,A
Coupe du Monde,Alger,10.02.18,J,S,F,I,A
Tournoi Satellite,La Paz, Baja California Sur,10.02.18,S,E,M,I,SA
Coupe du Monde par équipes,Alger,10.02.18,J,S,F,T,A
Coupe du Monde,Dourdan,10.02.18,J,S,M,I,A
Coupe du Monde,Barcelone,09.02.18,S,E,F,I,A
Löwe von Bonn,Bonn,09.02.18,S,F,M,I,A
Coupe du Monde par équipes,Padoue,04.02.18,S,S,M,T,A
Grand Prix Bratislava Coupe du Monde Junior par eq,Bratislava,04.02.18,J,E,F,T,A
Grand Prix Bratislava Coupe du Monde Tournoi Satel,Bratislava,04.02.18,S,E,F,I,SA
Coupe du Monde par équipes,Alger,04.02.18,S,F,F,T,A
Coupe du Monde,Šabac,03.02.18,J,E,M,I,A
Coupe du Monde par équipes,Šabac,03.02.18,J,E,M,T,A
Grand Prix Bratislava Coupe du Monde Junior,Bratislava,03.02.18,J,E,F,I,A
Trophée Luxardo,Padoue,02.02.18,S,S,M,I,A
Coupe du Monde de fleuret d'Alger by Ooredoo,Alger,02.02.18,S,F,F,I,A
Tournoi Satellite,Tbilisi,28.01.18,S,S,M,I,SA
Coupe du Monde par équipes,Aix-en-Provence,28.01.18,J,F,M,T,A
Coupe du Monde par équipes,Baltimore,28.01.18,S,S,F,T,A
Coupe du Monde par équipes,Zagreb,28.01.18,J,F,F,T,A
Heidenheimer Pokal,Heidenheim,27.01.18,S,E,M,T,A
Coupe du Monde,Aix-en-Provence,27.01.18,J,F,M,I,A
Coupe du Monde,Zagreb,27.01.18,J,F,F,I,A
Coupe du Monde,Baltimore,26.01.18,S,S,F,I,A
Heidenheimer Pokal,Heidenheim,25.01.18,S,E,M,I,A
Coupe du Monde par équipes,La Havane,21.01.18,S,E,F,T,A
Challenge International de Paris,Paris,21.01.18,S,F,M,T,A
2018 Buchmann GMBH Phoenix  Junior WC par équipes,Phoenix,21.01.18,J,S,M,T,A
Coupe du Monde par équipes,Segovia,21.01.18,J,S,F,T,A
Coupe du Monde,Segovia,20.01.18,J,S,F,I,A
2018 Buchmann GMBH Phoenix Junior Men's Sabre WC,Phoenix,20.01.18,J,S,M,I,A
Coupe du Monde ,La Havane,19.01.18,S,E,F,I,A
Challenge International de Paris,Paris,19.01.18,S,F,M,I,A
Coupe du Monde par équipes,Katowice,14.01.18,S,F,F,T,A
Rehbinder Prize,Stockholm,14.01.18,S,E,F,I,SA
SAF-Pokalen,Stockholm,13.01.18,S,E,M,I,SA
The Artus Court PKO BP,Katowice,12.01.18,S,F,F,I,A
Coupe du Monde,Udine,07.01.18,J,E,F,I,A
Coupe du Monde,Udine,07.01.18,J,F,M,I,A
Coupe du Monde,Budapest,06.01.18,J,S,M,I,A
Alpe Adria,Udine,06.01.18,J,E,M,I,A
Coupe du Monde,Budapest,06.01.18,J,S,F,I,A
Coupe du Monde,Udine,06.01.18,J,F,F,I,A
