ID, TABLEU, C1_ID, C1_AGE, C1_RANKING, C1_NATIONALITY,C1_HANDNESS, C1_WEAPON, C2_ID, C2_AGE, C2_RANKING, C2_NATIONALITY,C2_HANDNESS, C2_WEAPON, RESULT_C1, RESULT_C2
2015-676, 32,Viktoriya-KOVALEVA-18617,29, None, RUSSIA, Right, Sabre ,Olga-KHARLAN-13715,28, 1, UKRAINE, Right, Sabre , D/6,  V/15
2015-676, 16,Mariel-ZAGUNIS-6783,33, 29, USA, Left, Sabre ,Olena-VORONINA-16021,28, 92, UKRAINE, Right, Sabre , V/15,  D/12
2015-676, 16,Yana-EGORIAN-25208,25, 6, RUSSIA, Left, Sabre ,Anna-LIMBACH-12054,29, 20, GERMANY, Right, Foil , V/15,  D/3
2015-676, 16,Ekaterina-DYACHENKO-5767,31, None, RUSSIA, Right, Sabre ,Loreta-GULOTTA-9786,31, 48, ITALY, Right, Sabre , V/15,  D/11
2015-676, 16,Cecilia-BERDER-15536,29, 4, FRANCE, Right, Sabre ,Dagmara-WOZNIAK-9199,30, 9, USA, Left, Sabre , V/15,  D/13
2015-676, 16,Sofya-VELIKAYA-9993,33, 2, RUSSIA, Right, Sabre ,Chen-SHEN-27545,28, None, CHINA, Right, Sabre , V/15,  D/11
2015-676, 16,Alina-KOMASHCHUK-21499,25, 18, UKRAINE, Right, Sabre ,Jiyeon-KIM-18881,30, 8, KOREA, Left, Sabre , D/8,  V/15
2015-676, 16,Aleksandra-SOCHA-5471,36, 40, USA, Right, Sabre ,Vassiliki-VOUGIOUKA-3967,32, None, GREECE, Right, Foil , D/12,  V/15
2015-676, 16,Dina-GALIAKBAROVA-21815,27, 88, RUSSIA, Right, Sabre ,Olga-KHARLAN-13715,28, 1, UKRAINE, Right, Sabre , D/12,  V/15
2015-676, 8,Mariel-ZAGUNIS-6783,33, 29, USA, Left, Sabre ,Yana-EGORIAN-25208,25, 6, RUSSIA, Left, Sabre , D/13,  V/15
2015-676, 8,Ekaterina-DYACHENKO-5767,31, None, RUSSIA, Right, Sabre ,Cecilia-BERDER-15536,29, 4, FRANCE, Right, Sabre , V/15,  D/11
2015-676, 8,Sofya-VELIKAYA-9993,33, 2, RUSSIA, Right, Sabre ,Jiyeon-KIM-18881,30, 8, KOREA, Left, Sabre , V/15,  D/14
2015-676, 8,Vassiliki-VOUGIOUKA-3967,32, None, GREECE, Right, Foil ,Olga-KHARLAN-13715,28, 1, UKRAINE, Right, Sabre , D/4,  V/15
2015-676, 4,Yana-EGORIAN-25208,25, 6, RUSSIA, Left, Sabre ,Ekaterina-DYACHENKO-5767,31, None, RUSSIA, Right, Sabre , V/15,  D/11
2015-676, 4,Sofya-VELIKAYA-9993,33, 2, RUSSIA, Right, Sabre ,Olga-KHARLAN-13715,28, 1, UKRAINE, Right, Sabre , D/11,  V/15
2015-676, 2,Yana-EGORIAN-25208,25, 6, RUSSIA, Left, Sabre ,Olga-KHARLAN-13715,28, 1, UKRAINE, Right, Sabre , D/10,  V/15
2015-185, 32,Thomas-DE_WILDE-10068,33, None, BELGIUM, Right, Sabre ,Ibrahim_Ahmet-ANT-22241,26, 322, TURKEY, Right, Sabre , D/5,  V/15
2015-185, 32,Atanas-ARNAUDOV-28132,43, None, BULGARIA, Right, Sabre ,Gunnar_Egill-AGUSTSSON-21217,26, 379, ICELAND, Right, Sabre , V/15,  D/5
